,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_learning_rate,params_max_bin,params_random_strength,state
0,0,0.6049478352159791,2023-06-10 16:34:42.729762,2023-06-10 16:34:51.119238,0 days 00:00:08.389476,8.377488389717813,Ordered,10,SymmetricTree,933,1.1356432344574891e-07,0.042987487429815126,64,56,COMPLETE
1,1,0.6931471805599454,2023-06-10 16:34:51.119931,2023-06-10 16:34:51.682774,0 days 00:00:00.562843,41.3747219306584,,7,Depthwise,595,0.006718427524686276,0.01656935930030868,2,55,COMPLETE
2,2,0.5002863981316743,2023-06-10 16:34:51.683511,2023-06-10 16:34:52.806624,0 days 00:00:01.123113,16.22526686125513,,7,Depthwise,821,0.0025729348915828573,0.007415768436863123,64,60,COMPLETE
3,3,0.47360319403138684,2023-06-10 16:34:52.807319,2023-06-10 16:35:01.583653,0 days 00:00:08.776334,0.2754862300972127,Ordered,6,SymmetricTree,568,19.730321692168193,0.0014964151199226008,4,0,COMPLETE
4,4,0.43802974894479646,2023-06-10 16:35:01.584305,2023-06-10 16:35:02.747615,0 days 00:00:01.163310,17.98987610251106,,10,Lossguide,390,0.15005964129554702,0.03457404621075633,2,70,COMPLETE
5,5,0.6392331207151545,2023-06-10 16:35:02.748363,2023-06-10 16:35:03.408756,0 days 00:00:00.660393,0.8479759912927808,,5,Lossguide,407,3.6074110320680046e-06,0.13163653553030405,20,97,COMPLETE
6,6,0.38524406005919276,2023-06-10 16:35:03.409373,2023-06-10 16:35:11.661574,0 days 00:00:08.252201,1.7749716273421368,Ordered,8,SymmetricTree,320,1.13591209308382,0.031447517349873826,4,59,COMPLETE
7,7,0.4872800502937814,2023-06-10 16:35:11.662255,2023-06-10 16:35:12.297862,0 days 00:00:00.635607,0.11958516848621921,,6,Depthwise,1012,0.04580780979019475,0.07071571652481418,3,27,COMPLETE
8,8,0.5262302883183402,2023-06-10 16:35:12.298464,2023-06-10 16:35:12.973865,0 days 00:00:00.675401,0.02120420416815241,Plain,6,SymmetricTree,311,0.0003682658830943579,0.04690226372040845,20,81,COMPLETE
9,9,0.49946391591949024,2023-06-10 16:35:12.974537,2023-06-10 16:35:13.787687,0 days 00:00:00.813150,0.03518339956480954,,10,Lossguide,468,0.0002792918783906777,0.0064499571571638055,4,59,COMPLETE
10,10,0.3059106369640592,2023-06-10 16:35:13.788257,2023-06-10 16:35:25.786491,0 days 00:00:11.998234,3.2597184567433546,Ordered,8,SymmetricTree,1158,90.05042796692871,0.20869216610596095,10,35,COMPLETE
11,11,0.30175590378639694,2023-06-10 16:35:25.787190,2023-06-10 16:35:37.248845,0 days 00:00:11.461655,2.696948610223397,Ordered,8,SymmetricTree,1175,79.92395275910948,0.1938397700537554,10,35,COMPLETE
12,12,0.301609320548473,2023-06-10 16:35:37.249568,2023-06-10 16:35:48.476373,0 days 00:00:11.226805,3.089975854292332,Ordered,8,SymmetricTree,1192,69.31269243233393,0.2542590120945454,10,32,COMPLETE
13,13,0.6461206469075709,2023-06-10 16:35:48.477052,2023-06-10 16:35:49.734103,0 days 00:00:01.257051,92.07106195605004,Ordered,9,SymmetricTree,1142,8.19347268929598,0.2718095301789849,10,28,COMPLETE
14,14,0.4483878998126661,2023-06-10 16:35:49.734781,2023-06-10 16:35:50.615369,0 days 00:00:00.880588,4.503060789912311,Plain,8,SymmetricTree,1028,1.852525087110608,0.14165516298361605,10,10,COMPLETE
15,15,0.29431719895948855,2023-06-10 16:35:50.615974,2023-06-10 16:35:52.743039,0 days 00:00:02.127065,0.8839968000840915,Ordered,4,SymmetricTree,1192,94.62801117363094,0.27700666254978257,5,41,COMPLETE
16,16,0.3380001732528851,2023-06-10 16:35:52.743718,2023-06-10 16:35:54.296459,0 days 00:00:01.552741,1.025748761449056,Ordered,4,SymmetricTree,805,1.1017826333708203,0.10224901997531105,5,43,COMPLETE
17,17,0.2846805269985673,2023-06-10 16:35:54.297129,2023-06-10 16:35:55.640455,0 days 00:00:01.343326,0.5141543528911243,Plain,4,SymmetricTree,1039,77.80552767027453,0.08470629836255693,32,20,COMPLETE
18,18,0.4027910113379237,2023-06-10 16:35:55.641053,2023-06-10 16:35:56.393966,0 days 00:00:00.752913,0.3865737933729012,,4,Lossguide,1022,3.0889679116328326,0.0777974303958465,32,15,COMPLETE
19,19,0.4351824410287439,2023-06-10 16:35:56.394670,2023-06-10 16:35:57.067382,0 days 00:00:00.672712,0.09666730597192938,,5,Depthwise,925,0.1377223249806665,0.12698841805710934,5,18,COMPLETE
20,20,0.3597803944951585,2023-06-10 16:35:57.068053,2023-06-10 16:35:57.806689,0 days 00:00:00.738636,0.01183267114338136,Plain,5,SymmetricTree,688,10.662745298719942,0.29021989771067114,32,46,COMPLETE
21,21,0.31150667308244934,2023-06-10 16:35:57.807395,2023-06-10 16:35:58.672282,0 days 00:00:00.864887,0.6307377114176894,Plain,4,SymmetricTree,1095,60.56408718641161,0.25397367623452183,5,26,COMPLETE
22,22,0.3145752896191682,2023-06-10 16:35:58.672887,2023-06-10 16:35:59.546290,0 days 00:00:00.873403,1.3262817492066838,Plain,5,SymmetricTree,1190,12.163576072780454,0.16336216252443972,32,39,COMPLETE
23,23,0.3274747883881848,2023-06-10 16:35:59.546913,2023-06-10 16:36:19.849341,0 days 00:00:20.302428,0.37772390346058926,Ordered,9,SymmetricTree,1081,64.60282505153545,0.10057149690889589,3,4,COMPLETE
24,24,0.4993879126925618,2023-06-10 16:36:19.850038,2023-06-10 16:36:20.443844,0 days 00:00:00.593806,1.9459869931490925,Plain,4,SymmetricTree,940,0.7986239094584547,0.2983838681566748,32,21,COMPLETE
25,25,0.3615835317404501,2023-06-10 16:36:20.444537,2023-06-10 16:36:30.263642,0 days 00:00:09.819105,5.357645469111894,Ordered,9,SymmetricTree,1086,7.469776878401035,0.15868625933126354,5,32,COMPLETE
26,26,0.3103237558174673,2023-06-10 16:36:30.264366,2023-06-10 16:36:32.097260,0 days 00:00:01.832894,0.7218906316263964,Plain,6,SymmetricTree,1196,90.98073049222194,0.07519154015582226,32,47,COMPLETE
27,27,0.4609421849783445,2023-06-10 16:36:32.097992,2023-06-10 16:36:33.893285,0 days 00:00:01.795293,1.7149795800052956,Ordered,7,SymmetricTree,998,0.32858762247403095,0.18685713045192945,5,11,COMPLETE
28,28,0.38869912805174034,2023-06-10 16:36:33.893960,2023-06-10 16:36:34.529504,0 days 00:00:00.635544,0.15642545209797773,,5,Depthwise,1106,4.67202460808755,0.18446006606354728,10,22,COMPLETE
