,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_learning_rate,params_max_bin,params_random_strength,state
24,24,0.3300440288132289,2023-06-10 16:06:10.130745,2023-06-10 16:06:13.490947,0 days 00:00:03.360202,0.17880932015849077,,10,Lossguide,1143,1.4418228490411937,0.0016626106854961767,64,50,COMPLETE
25,25,0.31036001563010734,2023-06-10 16:06:13.491655,2023-06-10 16:06:18.340454,0 days 00:00:04.848799,0.1384569382306733,,10,Lossguide,1110,11.821948388394661,0.0016157401842853962,64,54,COMPLETE
26,26,0.31196786086773853,2023-06-10 16:06:18.341165,2023-06-10 16:06:24.135336,0 days 00:00:05.794171,0.11027794748136503,,10,Lossguide,1124,15.604708825214136,0.0011926190835486214,64,57,COMPLETE
27,27,0.3099667909478302,2023-06-10 16:06:24.136203,2023-06-10 16:06:29.853938,0 days 00:00:05.717735,0.13030835236649219,,10,Lossguide,1124,27.39768273346495,0.0015091261642485973,64,59,COMPLETE
28,28,0.5305543041429199,2023-06-10 16:06:29.854697,2023-06-10 16:06:35.888072,0 days 00:00:06.033375,0.09763302049846866,Plain,10,SymmetricTree,1198,87.55764573155234,0.002406973132323125,64,73,COMPLETE
29,29,0.3116738808661774,2023-06-10 16:06:35.888722,2023-06-10 16:06:41.603394,0 days 00:00:05.714672,0.12843962142063936,,10,Lossguide,1105,16.648267218395702,0.0012402312747571954,64,58,COMPLETE
30,30,0.3656484159440859,2023-06-10 16:06:41.604015,2023-06-10 16:06:47.154389,0 days 00:00:05.550374,0.048229585786766005,,10,Depthwise,995,7.468458601655194,0.001035578219386701,64,77,COMPLETE
31,31,0.31181532074647983,2023-06-10 16:06:47.155024,2023-06-10 16:06:52.926743,0 days 00:00:05.771719,0.12203980054231434,,10,Lossguide,1117,35.761691535661384,0.0015272856901103634,64,60,COMPLETE
32,32,0.3112282677137888,2023-06-10 16:06:52.927404,2023-06-10 16:06:58.467640,0 days 00:00:05.540236,0.18347382386729372,,10,Lossguide,1083,24.30199237500765,0.0014657978944248172,64,58,COMPLETE
33,33,0.31595588445838085,2023-06-10 16:06:58.468241,2023-06-10 16:07:03.121254,0 days 00:00:04.653013,0.44407373492876506,,10,Lossguide,1089,16.49524311509124,0.0024198244388668484,64,69,COMPLETE
34,34,0.32089952340034467,2023-06-10 16:07:03.121915,2023-06-10 16:07:06.892973,0 days 00:00:03.771058,0.1958688045321861,,9,Lossguide,1017,2.7297233947093997,0.0015719761611945565,64,57,COMPLETE
35,35,0.6314724577539589,2023-06-10 16:07:06.893599,2023-06-10 16:07:11.671420,0 days 00:00:04.777821,0.07133551126811279,Plain,10,SymmetricTree,955,99.94552853979376,0.0010606581953560834,4,45,COMPLETE
36,36,0.31900686285217783,2023-06-10 16:07:11.672057,2023-06-10 16:07:16.343179,0 days 00:00:04.671122,0.03355617555312489,,9,Depthwise,921,6.35875148118584,0.0025063084555509985,64,56,COMPLETE
37,37,0.4237673094978722,2023-06-10 16:07:16.343917,2023-06-10 16:07:21.908015,0 days 00:00:05.564098,0.28392573027631723,,10,Lossguide,1086,27.704195706519126,0.0015195172006318002,2,85,COMPLETE
38,38,0.3431454443005391,2023-06-10 16:07:21.908760,2023-06-10 16:08:05.097734,0 days 00:00:43.188974,0.5147670587278851,Ordered,9,SymmetricTree,1194,4.591187660946967,0.006624931581529458,64,73,COMPLETE
39,39,0.4321046118149081,2023-06-10 16:08:05.098376,2023-06-10 16:08:09.478879,0 days 00:00:04.380503,0.1513489270851393,,10,Depthwise,705,18.58256285179438,0.002122299235033507,5,62,COMPLETE
40,40,0.34567068775451876,2023-06-10 16:08:09.479589,2023-06-10 16:08:11.184070,0 days 00:00:01.704481,0.06888128942049261,,9,Lossguide,486,0.843620773303787,0.002961719155485715,10,45,COMPLETE
41,41,0.3172436200575691,2023-06-10 16:08:11.184820,2023-06-10 16:08:16.934785,0 days 00:00:05.749965,0.12777286854879077,,10,Lossguide,1108,39.41868504146069,0.0014040268462619967,64,60,COMPLETE
42,42,0.3139837651324046,2023-06-10 16:08:16.935529,2023-06-10 16:08:21.804309,0 days 00:00:04.868780,0.2566965822130906,,10,Lossguide,1148,7.360091683495614,0.0014217646673028426,64,68,COMPLETE
43,43,0.3054658068465189,2023-06-10 16:08:21.805044,2023-06-10 16:08:26.994283,0 days 00:00:05.189239,0.03412672930618684,,10,Lossguide,1010,29.91622646246213,0.0017693982321491779,64,55,COMPLETE
44,44,0.3304445305105425,2023-06-10 16:08:26.995001,2023-06-10 16:08:31.288309,0 days 00:00:04.293308,0.0386017202346269,,5,Lossguide,1006,2.6003294343602295,0.0010701943293314493,64,54,COMPLETE
