,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
804,804,0.3356394389193861,2023-06-10 19:45:57.796428,2023-06-10 19:45:57.928394,0 days 00:00:00.131966,0.714927654913821,5,0.4225406352910256,2.993880700731614e-07,0.00014316351025801035,0.22780917172922752,36,19,0.08080621705764013,562,117,PRUNED
20,20,0.33589462479939625,2023-06-10 19:43:07.876257,2023-06-10 19:43:08.243159,0 days 00:00:00.366902,0.5794073969558036,1,0.680784777335528,0.005861681193491475,1.0307064538971663e-08,0.06825660762227691,122,18,0.052823019615420706,306,128,COMPLETE
358,358,0.3360244254893202,2023-06-10 19:44:47.351842,2023-06-10 19:44:47.437772,0 days 00:00:00.085930,0.6844263633400584,5,0.533600862894436,0.000503794106562088,1.220999499727498e-05,0.2917462305930197,40,17,0.07651966815139788,499,127,PRUNED
172,172,0.33615018737797564,2023-06-10 19:43:41.435692,2023-06-10 19:43:42.116316,0 days 00:00:00.680624,0.6372294796426707,5,0.42517613376216656,2.487943605317715,1.2618869468390425e-06,0.23608970791790235,51,18,0.0974283985863809,513,128,COMPLETE
310,310,0.33679603024621263,2023-06-10 19:44:38.343943,2023-06-10 19:44:38.441792,0 days 00:00:00.097849,0.7427917699328368,5,0.41435655010603956,4.661097331935204e-06,5.512456503550814e-06,0.2669911742334036,32,19,0.09363197188967026,576,61,PRUNED
294,294,0.336933833984151,2023-06-10 19:44:34.988101,2023-06-10 19:44:35.641560,0 days 00:00:00.653459,0.7098016818592737,5,0.5207841949695025,0.6453091853964088,2.78436466704584e-06,0.2543594162873002,37,52,0.08805281115564034,516,75,COMPLETE
843,843,0.3370471359230579,2023-06-10 19:46:14.494899,2023-06-10 19:46:14.626282,0 days 00:00:00.131383,0.6671961873052089,5,0.6060540179930056,4.1180592997665785e-08,4.85145856424032e-06,0.23172651285974413,36,21,0.08933519132528754,603,119,PRUNED
123,123,0.33724676288603933,2023-06-10 19:43:29.689409,2023-06-10 19:43:30.145655,0 days 00:00:00.456246,0.6693082223278138,5,0.4262485652978145,0.7531283649282986,2.0990411792858543e-06,0.19849099548378485,112,25,0.04990690635378314,402,202,COMPLETE
91,91,0.3376741743579172,2023-06-10 19:43:24.296958,2023-06-10 19:43:25.123552,0 days 00:00:00.826594,0.6619956049292173,4,0.4846903308974809,0.8060338364027969,1.4319445401964813e-07,0.20003912993871975,99,13,0.06769020795956758,581,168,COMPLETE
10,10,0.3386981239462923,2023-06-10 19:42:59.959733,2023-06-10 19:43:01.095091,0 days 00:00:01.135358,0.6400428052943498,5,0.40206483079336175,2.1609588556297836e-08,9.482251433076101,0.2702391457720316,100,7,0.053711056770842085,793,158,PRUNED
