,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
1078,1078,0.2329705784538738,2023-06-10 19:12:14.876036,2023-06-10 19:12:15.219989,0 days 00:00:00.343953,0.6745504509123711,6,0.7373759384091997,0.40878565428554436,0.0013294815064184846,0.23297733588745462,150,29,0.08104350008923442,970,182,COMPLETE
621,621,0.24078948711510964,2023-06-10 19:10:58.154517,2023-06-10 19:10:58.302112,0 days 00:00:00.147595,0.6596244408695793,4,0.5123370387823479,0.08699662950525387,3.761886710880676e-08,0.2628759083926525,125,28,0.0785547805229093,924,206,COMPLETE
1082,1082,0.2409678272144441,2023-06-10 19:12:15.652042,2023-06-10 19:12:15.868705,0 days 00:00:00.216663,0.6743938986574965,3,0.7263231012407362,0.6855050454309526,0.0034358215425450657,0.25242297656968354,165,29,0.09468623860733415,984,177,COMPLETE
1138,1138,0.24143572827078624,2023-06-10 19:12:24.954029,2023-06-10 19:12:25.257046,0 days 00:00:00.303017,0.6684746669216448,6,0.8763665625323098,2.1043542779544293e-06,6.0061149555780635e-05,0.25819940486020565,159,33,0.08346518112740164,985,171,COMPLETE
2457,2457,0.24225334101069207,2023-06-10 19:18:28.025471,2023-06-10 19:18:28.442649,0 days 00:00:00.417178,0.6817946507515116,6,0.7027482133334798,0.03998043504081358,0.8226980294592904,0.2540510852565214,161,31,0.07059300513956752,955,179,COMPLETE
2796,2796,0.2457535907501377,2023-06-10 19:20:27.402621,2023-06-10 19:20:27.854484,0 days 00:00:00.451863,0.6286356395504721,4,0.7038060384016243,3.3206095587989835e-07,2.2663059689864202e-08,0.2053989231627239,128,23,0.018349386885677773,977,175,COMPLETE
1029,1029,0.2480670371074129,2023-06-10 19:11:58.695208,2023-06-10 19:11:58.913634,0 days 00:00:00.218426,0.6711075105650309,4,0.7561929047817719,1.3950767688507835,0.0012907890140989322,0.2642019602514312,150,30,0.08663298234051811,990,169,COMPLETE
642,642,0.25249014117730434,2023-06-10 19:11:01.159164,2023-06-10 19:11:01.309269,0 days 00:00:00.150105,0.6784607300342392,4,0.5128799354536061,0.05815869063065961,5.146563978743586e-07,0.2661090382276418,125,31,0.08140707532603528,944,197,COMPLETE
1587,1587,0.2546128087715218,2023-06-10 19:13:53.031506,2023-06-10 19:13:53.272743,0 days 00:00:00.241237,0.6665368281164112,4,0.5301639413311036,1.9233249797382747e-06,0.1407944826548855,0.299085991449686,153,27,0.04481614201005584,945,191,COMPLETE
3338,3338,0.25515965014250175,2023-06-10 19:24:13.817025,2023-06-10 19:24:14.353142,0 days 00:00:00.536117,0.6543209711512697,5,0.7400006431436627,0.32509193290257976,0.001122576741645434,0.26438382023653517,163,23,0.0904226779551601,978,169,COMPLETE
2165,2165,0.2561544693747802,2023-06-10 19:16:54.247384,2023-06-10 19:16:54.545149,0 days 00:00:00.297765,0.6980574679923499,6,0.7044928054474741,0.0006926807861011239,2.3469985212744816e-06,0.29963488833062124,161,28,0.09302264967175561,988,185,COMPLETE
1098,1098,0.2590798637824955,2023-06-10 19:12:18.343436,2023-06-10 19:12:18.531535,0 days 00:00:00.188099,0.7080112922297003,6,0.7583109919973625,0.6964274857034713,0.003971314294724052,0.25754670541597746,162,26,0.09337828309809548,987,170,COMPLETE
4233,4233,0.25909598901087,2023-06-10 19:31:53.052521,2023-06-10 19:31:53.667930,0 days 00:00:00.615409,0.6893928929887382,5,0.7586120993373523,4.589909550865613e-07,0.0038217826561561387,0.29977693788223353,151,25,0.05033505128074076,980,175,COMPLETE
1477,1477,0.2601365571594495,2023-06-10 19:13:29.795250,2023-06-10 19:13:30.025282,0 days 00:00:00.230032,0.6865155122706211,4,0.7399746484044784,0.1741471204560833,0.004810307023729001,0.1969452835615184,175,25,0.03631460458097943,991,183,COMPLETE
1713,1713,0.26129308531667783,2023-06-10 19:14:29.598285,2023-06-10 19:14:29.853630,0 days 00:00:00.255345,0.6478382553205516,4,0.7124553050427735,1.1910780284277356e-06,1.1398910967877372e-06,0.29948662804799087,166,25,0.058136126801277964,987,184,COMPLETE
1005,1005,0.26137570625076006,2023-06-10 19:11:54.637591,2023-06-10 19:11:54.927936,0 days 00:00:00.290345,0.6663149728826218,4,0.7691020458201073,0.007119127423709477,6.450323217350011e-08,0.23043826731924993,150,25,0.09368849190718186,977,181,COMPLETE
2777,2777,0.26147047062239803,2023-06-10 19:20:20.518769,2023-06-10 19:20:20.976688,0 days 00:00:00.457919,0.6618741287458966,4,0.6665615676070237,0.7057116884721861,3.411469753598908e-08,0.2984318804461591,162,26,0.015377394878436729,1000,180,COMPLETE
1039,1039,0.2617092019343321,2023-06-10 19:12:00.294645,2023-06-10 19:12:00.477799,0 days 00:00:00.183154,0.6575964733730709,4,0.7640298582432116,0.00902820760518814,1.5604097747199e-08,0.25963081316507847,156,31,0.08672774392794619,1000,173,COMPLETE
1026,1026,0.2633049567384241,2023-06-10 19:11:58.117844,2023-06-10 19:11:58.299245,0 days 00:00:00.181401,0.6795099615868915,4,0.7240103660341968,0.6885527933433209,0.0012725603889605097,0.2973635008021715,148,29,0.08878138764308181,997,171,COMPLETE
4723,4723,0.26502275423042065,2023-06-10 19:36:57.088520,2023-06-10 19:36:57.780895,0 days 00:00:00.692375,0.6471489952206313,7,0.46334202000116453,3.92902028858696e-08,0.00022057280910817124,0.2610193613099601,165,27,0.09784679362773534,988,163,COMPLETE
3368,3368,0.2650769626447517,2023-06-10 19:24:26.623213,2023-06-10 19:24:27.141590,0 days 00:00:00.518377,0.5985870863818674,5,0.7875221451849229,0.17853642139517395,8.978283582172514e-06,0.2978097430785316,162,24,0.04844531142426446,963,157,COMPLETE
4661,4661,0.2653046864225391,2023-06-10 19:36:18.707971,2023-06-10 19:36:19.380032,0 days 00:00:00.672061,0.6481936220719797,4,0.48103923215821554,1.0862782073471544,6.911451724617039e-06,0.29955300004417523,145,25,0.047404834335206605,969,174,COMPLETE
2821,2821,0.2653176802852134,2023-06-10 19:20:36.364125,2023-06-10 19:20:36.836249,0 days 00:00:00.472124,0.9548507344380284,4,0.7179916732892551,5.426068895515072e-07,1.7012778996929963e-06,0.2348797921655749,133,21,0.014207066225200512,932,178,COMPLETE
1476,1476,0.26538655389980836,2023-06-10 19:13:29.568009,2023-06-10 19:13:29.794329,0 days 00:00:00.226320,0.6630032570209722,4,0.7449839532570743,0.12330800926819456,0.002933033744323511,0.22464684374206842,167,27,0.05963651612005268,1000,187,COMPLETE
3435,3435,0.26539684741417285,2023-06-10 19:24:55.518906,2023-06-10 19:24:56.035596,0 days 00:00:00.516690,0.6558729160928188,5,0.546261206428952,3.1285958616765194e-08,0.14520616831448158,0.255258533053009,159,22,0.05139062046783347,965,176,COMPLETE
1046,1046,0.2657168965264256,2023-06-10 19:12:01.551291,2023-06-10 19:12:01.935470,0 days 00:00:00.384179,0.6456998874841274,5,0.7621936084115307,0.004653548282096898,2.7218589783017517e-08,0.25465381216695154,152,27,0.09463970381559694,982,171,COMPLETE
3799,3799,0.2660523001382729,2023-06-10 19:27:53.638148,2023-06-10 19:27:54.201191,0 days 00:00:00.563043,0.669194847368982,4,0.7570645445637139,0.08402095054825168,2.5818773198086604e-06,0.298801581265136,152,30,0.04708288858113899,970,179,COMPLETE
1901,1901,0.26640691017551943,2023-06-10 19:15:16.764050,2023-06-10 19:15:17.213738,0 days 00:00:00.449688,0.651079094703142,4,0.7411496202893858,5.84157743231364e-07,9.184525099446548e-07,0.24878222273268852,181,26,0.08618258779777621,967,191,COMPLETE
3332,3332,0.2666930148424132,2023-06-10 19:24:03.985848,2023-06-10 19:24:04.498894,0 days 00:00:00.513046,0.6554334085651886,5,0.7506232277194202,0.41604983653713495,0.19970479062454263,0.2985524580291475,162,25,0.09170514198119348,977,179,COMPLETE
2223,2223,0.26678853948756204,2023-06-10 19:17:10.787825,2023-06-10 19:17:11.185155,0 days 00:00:00.397330,0.7092140435562436,6,0.6725829854237559,0.0002929912635915669,0.0596793823695341,0.2583943497840773,127,30,0.07629575451416695,974,181,COMPLETE
2191,2191,0.26684627097144675,2023-06-10 19:17:01.634019,2023-06-10 19:17:02.026417,0 days 00:00:00.392398,0.7226034879952237,6,0.6983829376289359,0.00015228733533557566,0.012823651995889092,0.29960553715384164,141,34,0.08840664714959995,1000,189,COMPLETE
1458,1458,0.26693003423818024,2023-06-10 19:13:25.935824,2023-06-10 19:13:26.256869,0 days 00:00:00.321045,0.6476037737116573,4,0.7475370928707965,7.31942172890169e-05,0.00048219451917768134,0.1889631324282127,176,26,0.06217044020536149,975,185,COMPLETE
788,788,0.2681115944252096,2023-06-10 19:11:21.876160,2023-06-10 19:11:22.039990,0 days 00:00:00.163830,0.6692001759861186,4,0.861998836758622,0.005424202507732697,0.1047855339725003,0.23284696697510682,133,29,0.03157488587547739,955,185,COMPLETE
3785,3785,0.26835725642557606,2023-06-10 19:27:46.638731,2023-06-10 19:27:47.202975,0 days 00:00:00.564244,0.6612912118212143,4,0.7416185367225907,2.153630645747459e-06,1.5696286365118068e-06,0.2652641059877808,158,25,0.09110761558264709,987,202,COMPLETE
850,850,0.2685204330958344,2023-06-10 19:11:31.278092,2023-06-10 19:11:31.446414,0 days 00:00:00.168322,0.6495850872161746,4,0.891161971833396,0.00029918112336201503,2.2804480615773442e-08,0.2030911390536096,129,29,0.06619768500317781,988,177,COMPLETE
3696,3696,0.2687906245625527,2023-06-10 19:27:03.649180,2023-06-10 19:27:04.205729,0 days 00:00:00.556549,0.6385923948938166,4,0.5343683361441733,0.1055647548516621,1.0097762597546106e-05,0.2990537918715823,146,25,0.02678171494226784,973,168,COMPLETE
1043,1043,0.26912154880582545,2023-06-10 19:12:01.090958,2023-06-10 19:12:01.273995,0 days 00:00:00.183037,0.6468100592466033,4,0.7576298039452213,0.00989656400698692,1.0349551095676546e-08,0.20347594435394914,150,27,0.09207614500994105,998,172,COMPLETE
2624,2624,0.27026224197703397,2023-06-10 19:19:21.476614,2023-06-10 19:19:21.830610,0 days 00:00:00.353996,0.6771737463394936,4,0.9618013494459341,1.0498504614174719e-05,0.0006159492154178037,0.25654993690181443,157,30,0.055008228137758484,988,207,COMPLETE
925,925,0.2702810404352611,2023-06-10 19:11:42.396403,2023-06-10 19:11:42.569260,0 days 00:00:00.172857,0.6768390288293854,4,0.4668703224797269,0.07409777916393417,0.0008669352607996789,0.29775515469855307,140,28,0.08599729316630976,945,216,COMPLETE
2166,2166,0.270971808177654,2023-06-10 19:16:54.546167,2023-06-10 19:16:54.926465,0 days 00:00:00.380298,0.7212720576959624,6,0.7100805177138578,0.0002891561776363716,1.8095372117349715e-06,0.2958468566432595,153,34,0.09325117817892142,989,182,COMPLETE
1302,1302,0.2710122768420644,2023-06-10 19:12:53.905657,2023-06-10 19:12:54.283812,0 days 00:00:00.378155,0.6605869310956924,4,0.7663875881070095,4.190277031125266e-07,1.1067147728498486e-06,0.29911620747876283,128,25,0.08368561652357868,1000,198,COMPLETE
4750,4750,0.2716291597725745,2023-06-10 19:37:14.027733,2023-06-10 19:37:14.707759,0 days 00:00:00.680026,0.6860058028605176,7,0.46234570265571273,2.7082758836661427e-08,7.19805121649375e-05,0.2996364419865085,168,21,0.05193596904012714,951,166,COMPLETE
2597,2597,0.2716311250699522,2023-06-10 19:19:12.561585,2023-06-10 19:19:12.909019,0 days 00:00:00.347434,0.8430079129519173,4,0.9325410718680435,0.00010208542545951148,0.0017055712391320869,0.29906144475116836,171,33,0.0789192516365789,962,176,COMPLETE
928,928,0.2719941888323825,2023-06-10 19:11:42.873811,2023-06-10 19:11:43.046954,0 days 00:00:00.173143,0.6255104530465725,4,0.4731538992440027,0.045493965565966764,0.0002787117274452747,0.23081499651217802,142,25,0.0861382960504678,921,217,COMPLETE
1534,1534,0.2720057291305619,2023-06-10 19:13:41.826052,2023-06-10 19:13:42.325618,0 days 00:00:00.499566,0.6873092856645248,4,0.562317165991674,5.428640725692073e-06,4.5201336229987174e-05,0.25773329073099016,172,26,0.056306867624059814,988,159,COMPLETE
3968,3968,0.272320367771451,2023-06-10 19:29:25.510478,2023-06-10 19:29:26.097767,0 days 00:00:00.587289,0.608478380075662,4,0.8116952884330506,5.123439803238895e-05,0.006291966722932701,0.26440550970622245,149,29,0.03740366062248316,977,187,COMPLETE
1451,1451,0.2726670512853435,2023-06-10 19:13:24.388204,2023-06-10 19:13:24.711359,0 days 00:00:00.323155,0.6788623223251095,4,0.7617454880406341,0.002781615340737353,1.019080083594669e-08,0.22495428120089425,165,26,0.05936335322408228,974,196,COMPLETE
1395,1395,0.27334064143168724,2023-06-10 19:13:12.896203,2023-06-10 19:13:13.306643,0 days 00:00:00.410440,0.6030722951199603,4,0.7483732282734089,9.628726821475929e-05,0.0006572785395814922,0.2563373818389445,174,31,0.08789011801210647,938,181,COMPLETE
640,640,0.27377781330504924,2023-06-10 19:11:00.640704,2023-06-10 19:11:01.017272,0 days 00:00:00.376568,0.680356832643841,4,0.5175918197661965,0.13726729640821245,3.2511850249688473e-07,0.29933059209393675,125,30,0.08490469045532067,926,195,COMPLETE
1640,1640,0.2738597220276941,2023-06-10 19:14:11.628994,2023-06-10 19:14:11.951113,0 days 00:00:00.322119,0.6117438448941496,4,0.8751064666556903,0.000324512788518095,1.4551455396937609e-08,0.29967445815627475,175,27,0.09477430733736691,964,188,COMPLETE
1101,1101,0.2739549121190993,2023-06-10 19:12:18.821293,2023-06-10 19:12:19.003203,0 days 00:00:00.181910,0.7081196137205106,6,0.7755325970290601,0.5893630635592646,0.00010261852355069153,0.2973409626464106,155,26,0.05614850314289351,968,158,COMPLETE
2339,2339,0.27432523704713596,2023-06-10 19:17:44.130768,2023-06-10 19:17:44.537199,0 days 00:00:00.406431,0.9729569106168797,6,0.4235668045963761,8.32411631508172e-08,2.4399089639200537e-08,0.29855568304595675,141,27,0.07567192262778585,951,165,COMPLETE
2667,2667,0.27489527403504455,2023-06-10 19:19:35.854461,2023-06-10 19:19:36.219915,0 days 00:00:00.365454,0.7535146977913523,3,0.9051012973582351,2.00901533474445e-06,3.941809289415918e-08,0.2596826359567872,155,24,0.0924147847590576,965,180,COMPLETE
2126,2126,0.27493191897663805,2023-06-10 19:16:43.458434,2023-06-10 19:16:43.831475,0 days 00:00:00.373041,0.6917694888271326,4,0.7067064498978126,0.00011100276290133526,0.0927052139837565,0.2999390955403262,167,27,0.03199191773653176,1000,198,COMPLETE
4631,4631,0.2750513609617161,2023-06-10 19:35:53.340442,2023-06-10 19:35:54.000473,0 days 00:00:00.660031,0.6600979814613455,5,0.5793888900206488,0.0024957335217864053,1.044768312660627e-06,0.29989575613945674,165,28,0.09499115587769495,704,190,COMPLETE
3057,3057,0.27513694325955285,2023-06-10 19:22:04.529936,2023-06-10 19:22:12.924189,0 days 00:00:08.394253,0.8275581259129362,4,0.8325325919657279,8.280161793700508e-07,2.237766305278412e-06,0.25965703336088203,147,21,0.05418342679597657,979,177,COMPLETE
1024,1024,0.27515286088483665,2023-06-10 19:11:57.573799,2023-06-10 19:11:57.975474,0 days 00:00:00.401675,0.6657505286566072,4,0.7254735447402315,0.7273977172581687,0.0036753866727425454,0.29841958750679565,140,29,0.08955846202206992,988,176,COMPLETE
1676,1676,0.27528858944139883,2023-06-10 19:14:20.742960,2023-06-10 19:14:20.993378,0 days 00:00:00.250418,0.677566417502923,4,0.4947447414876299,2.6004813464239033e-07,0.03564029607459915,0.26040698503879683,170,25,0.08125176160350361,915,211,COMPLETE
3692,3692,0.2756438395182049,2023-06-10 19:27:01.710196,2023-06-10 19:27:02.173128,0 days 00:00:00.462932,0.6151616695064661,4,0.4370417133092224,5.6367910054581185e-08,0.0005519531796014358,0.2279797941057564,152,25,0.08013246084640104,942,183,COMPLETE
2788,2788,0.2758057190326964,2023-06-10 19:20:24.477025,2023-06-10 19:20:24.848627,0 days 00:00:00.371602,0.6488844647680005,4,0.6859336397779082,0.3824338011645801,3.443467327587552e-08,0.29952100051563885,165,25,0.015469366387311997,981,169,COMPLETE
3322,3322,0.2758575113166777,2023-06-10 19:23:59.737208,2023-06-10 19:24:00.243161,0 days 00:00:00.505953,0.6685441080057437,4,0.46755006421118867,2.007193478904984e-08,3.4744776722558053e-08,0.29984754524956203,152,30,0.09978904586584467,988,177,COMPLETE
3652,3652,0.27599592048659416,2023-06-10 19:26:42.623764,2023-06-10 19:26:43.167048,0 days 00:00:00.543284,0.6674079714840733,4,0.44938962711986163,0.23940674192451353,0.02534777652420074,0.2285483000088348,150,27,0.04048942617894288,955,178,COMPLETE
731,731,0.2760169977022442,2023-06-10 19:11:14.026009,2023-06-10 19:11:14.176666,0 days 00:00:00.150657,0.6635652939134395,4,0.5164047682957901,0.1570172173725793,1.3731422182135998e-07,0.2661609277696244,127,36,0.03537526627810894,958,193,COMPLETE
4355,4355,0.27618521177068345,2023-06-10 19:33:07.869182,2023-06-10 19:33:08.495816,0 days 00:00:00.626634,0.6992314533753677,5,0.8256090191555185,6.915225242429848e-05,0.00021029372775013507,0.26367812067414786,101,31,0.03792925874943081,967,164,COMPLETE
655,655,0.27620186721269957,2023-06-10 19:11:03.086299,2023-06-10 19:11:03.231547,0 days 00:00:00.145248,0.6576624836393697,4,0.49406107415250294,0.0538458683280204,5.0609621958206e-07,0.2523853377562458,131,36,0.07589578403761701,967,193,COMPLETE
860,860,0.27674315049170717,2023-06-10 19:11:32.628638,2023-06-10 19:11:32.993513,0 days 00:00:00.364875,0.6384508929524585,4,0.47309013420785656,0.022345102561837894,1.19539112624947e-06,0.22597099682184651,118,28,0.0628956630291226,957,185,COMPLETE
746,746,0.2770142651142822,2023-06-10 19:11:16.032957,2023-06-10 19:11:16.183962,0 days 00:00:00.151005,0.6793043421299743,4,0.4568557496300721,0.0016716535583047366,1.8594138332785036e-08,0.2970036758691048,132,39,0.08493409373519044,952,208,COMPLETE
702,702,0.2771030364391698,2023-06-10 19:11:09.870419,2023-06-10 19:11:10.019079,0 days 00:00:00.148660,0.6755571850996701,4,0.5266655187060292,0.0631035318477941,1.0877930604431499e-06,0.2987063685678835,122,33,0.07686468611024432,987,203,COMPLETE
1305,1305,0.2772135964257706,2023-06-10 19:12:54.728113,2023-06-10 19:12:54.968149,0 days 00:00:00.240036,0.6610098741627992,4,0.7807981230501321,2.164360069521307,1.4269234152419916e-06,0.2988320452939207,126,23,0.08241389697201656,1000,196,COMPLETE
