,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
3064,3064,0.2589993272935974,2023-06-10 18:51:39.606929,2023-06-10 18:51:40.085554,0 days 00:00:00.478625,0.9287138489583677,5,0.9319545242574232,1.8066749725944615e-06,0.004906593374856949,0.29989440812637536,55,70,0.0399287711636221,466,208,COMPLETE
3901,3901,0.2595113742463018,2023-06-10 18:58:29.510461,2023-06-10 18:58:30.091635,0 days 00:00:00.581174,0.9327199014482556,6,0.6681164042057194,2.8063481251046743e-06,0.0004296787423692432,0.29824667917158704,41,56,0.055546945633065496,524,202,COMPLETE
152,152,0.25962114015553966,2023-06-10 18:40:21.891973,2023-06-10 18:40:21.998993,0 days 00:00:00.107020,0.9647976960815299,6,0.9205389813535537,5.105893558275936e-08,0.0763226767152208,0.26119348239316925,53,78,0.04986842941622493,351,247,COMPLETE
366,366,0.25989867755184737,2023-06-10 18:40:40.164350,2023-06-10 18:40:40.296465,0 days 00:00:00.132115,0.9411218094377113,3,0.7400417532006831,2.7862412840799265e-05,0.3543189766158262,0.23454470474442415,77,70,0.059413667489229445,333,199,COMPLETE
4731,4731,0.26046352062727557,2023-06-10 19:06:46.024609,2023-06-10 19:06:46.703230,0 days 00:00:00.678621,0.9229198250507742,6,0.989934491095523,0.13925895734850038,6.133743306015033e-05,0.25928336867378854,64,66,0.023331245974480462,511,253,COMPLETE
1249,1249,0.2611824960973519,2023-06-10 18:42:40.716727,2023-06-10 18:42:40.926449,0 days 00:00:00.209722,0.9085571842809907,3,0.6292463655516107,1.7565766717394552e-05,0.001959252195106893,0.2620648471775191,66,67,0.07425455886747942,371,182,COMPLETE
2264,2264,0.2616272653751932,2023-06-10 18:46:47.739106,2023-06-10 18:46:48.235848,0 days 00:00:00.496742,0.9623730629313914,3,0.8370078431761457,1.4428472200503677,0.16142574417189665,0.298972953849175,64,68,0.04063117217390379,390,202,COMPLETE
2691,2691,0.26193872649955297,2023-06-10 18:49:13.988646,2023-06-10 18:49:14.390214,0 days 00:00:00.401568,0.9276424701417858,5,0.9607554055175425,0.00022351308892490956,0.0858320012365008,0.26411892661792136,65,71,0.04605965068507781,469,215,COMPLETE
206,206,0.2623695881321869,2023-06-10 18:40:26.349846,2023-06-10 18:40:26.475865,0 days 00:00:00.126019,0.9695033531806945,4,0.9433042527956451,5.8572835776886774e-06,0.05065488400307387,0.29810137760547434,59,80,0.05366541173802678,385,231,COMPLETE
594,594,0.2623912212324102,2023-06-10 18:41:03.446017,2023-06-10 18:41:03.589980,0 days 00:00:00.143963,0.9404652387182508,5,0.737708238512716,0.0015423837668724456,5.003989502085531e-07,0.25724152626926733,50,70,0.09928131924277436,435,197,COMPLETE
