,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
849,849,0.23868342275475196,2023-06-10 18:14:34.851438,2023-06-10 18:14:35.071746,0 days 00:00:00.220308,7,0.9667851594386399,0.0021954925092320596,0.0024709180218424123,0.2250368322450836,32,7,0.05618879875050943,402,225,COMPLETE
1268,1268,0.2399494714245448,2023-06-10 18:15:36.059150,2023-06-10 18:15:36.272605,0 days 00:00:00.213455,7,0.9558123058277166,0.05956062019852493,0.033006345511975656,0.21412033366672095,32,10,0.05108557441127695,766,243,COMPLETE
2852,2852,0.24020332238071818,2023-06-10 18:22:27.661421,2023-06-10 18:22:28.140117,0 days 00:00:00.478696,7,0.5586273886156232,4.419538464057715e-05,5.581093108028594e-08,0.17301593134591015,32,17,0.0046116573931587156,758,225,COMPLETE
867,867,0.24324823661093398,2023-06-10 18:14:37.344431,2023-06-10 18:14:37.520462,0 days 00:00:00.176031,4,0.9780716404547928,0.0075822903567660475,1.7643797418744394e-06,0.15948731696541904,32,11,0.025800981635971224,718,250,COMPLETE
2198,2198,0.24357935947911316,2023-06-10 18:19:02.434317,2023-06-10 18:19:02.741621,0 days 00:00:00.307304,7,0.9785587785412639,0.03507899997856317,5.180466737968405e-08,0.21650519903968937,32,7,0.08355959580348105,748,222,COMPLETE
2307,2307,0.24377464180223707,2023-06-10 18:19:32.217613,2023-06-10 18:19:32.529484,0 days 00:00:00.311871,7,0.8835068071720813,0.01823586994910576,7.027115882055472e-08,0.25249218014656066,58,7,0.04028340481703373,710,256,COMPLETE
2464,2464,0.2437799593883932,2023-06-10 18:20:20.230721,2023-06-10 18:20:20.550587,0 days 00:00:00.319866,7,0.940707569494691,0.5634381152583449,3.867542408814893e-07,0.29899972567972755,32,7,0.0856438170872344,784,241,COMPLETE
101,101,0.24405897425139828,2023-06-10 18:13:19.175507,2023-06-10 18:13:19.291202,0 days 00:00:00.115695,7,0.56316517730997,2.526677461584907e-05,2.2554471763770825e-08,0.15453818520857596,35,9,0.05541709907034588,781,240,COMPLETE
578,578,0.24503912798526428,2023-06-10 18:14:01.712943,2023-06-10 18:14:01.858710,0 days 00:00:00.145767,7,0.9076978910306207,9.151006523190268e-08,0.009950976790249717,0.2390842801615977,36,6,0.09080191943719797,769,239,COMPLETE
1082,1082,0.2451965718445801,2023-06-10 18:15:07.120582,2023-06-10 18:15:07.321875,0 days 00:00:00.201293,7,0.46127882426458644,2.919046140925753e-07,0.00045876973552646703,0.15233849046347628,36,10,0.03177945599084935,769,256,COMPLETE
