,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
916,916,0.2616383834241474,2023-06-10 17:48:27.009077,2023-06-10 17:48:27.177232,0 days 00:00:00.168155,4,0.752550331798193,7.783696647492547e-05,2.6843490267387096,0.2650468828058025,88,14,0.06854150823239823,670,144,COMPLETE
1386,1386,0.2619724300318773,2023-06-10 17:49:38.639228,2023-06-10 17:49:38.863373,0 days 00:00:00.224145,4,0.8056116831336723,4.6165255404936996e-05,0.00547300199381537,0.25579626690212665,62,7,0.07160808983343313,664,143,COMPLETE
2797,2797,0.2620645405983821,2023-06-10 17:55:35.480622,2023-06-10 17:55:35.904003,0 days 00:00:00.423381,3,0.744288381443791,1.3950409214976926e-05,0.007347164741646525,0.26148177865151584,57,17,0.026187807513009954,545,102,COMPLETE
3152,3152,0.26208657193719237,2023-06-10 17:57:41.396435,2023-06-10 17:57:41.860836,0 days 00:00:00.464401,4,0.7360491963958993,0.0005352479627491049,0.0009433932654277654,0.2343747386584765,55,13,0.05641600805980155,687,136,COMPLETE
673,673,0.26223350843559035,2023-06-10 17:47:56.456364,2023-06-10 17:47:56.596331,0 days 00:00:00.139967,4,0.8644619028837351,0.00015893423626500645,7.275092638051058e-05,0.2987940975478764,104,19,0.0917030926934231,583,98,COMPLETE
1188,1188,0.26238219511874306,2023-06-10 17:49:06.051118,2023-06-10 17:49:06.257083,0 days 00:00:00.205965,4,0.7209556246506289,0.1700697405978293,0.004223614715032567,0.2388082017994495,47,14,0.07090491049015762,971,38,COMPLETE
1558,1558,0.2626116672786004,2023-06-10 17:50:10.902909,2023-06-10 17:50:11.149232,0 days 00:00:00.246323,6,0.9280861032173346,2.7583563075981595e-08,1.9342000815816807,0.23513771004665418,87,13,0.07005789602820547,567,191,COMPLETE
1001,1001,0.26264411044136393,2023-06-10 17:48:38.561683,2023-06-10 17:48:38.737099,0 days 00:00:00.175416,7,0.853872372747172,0.0022540133666485176,1.1175403475417561e-07,0.2994603137203885,59,14,0.053766822214252476,599,134,COMPLETE
93,93,0.26277034154249507,2023-06-10 17:47:02.849234,2023-06-10 17:47:02.957996,0 days 00:00:00.108762,6,0.8094752571486703,8.368473171447289e-07,2.2825687674213816e-07,0.20434866125746,83,15,0.04392044191667691,614,182,COMPLETE
221,221,0.26355366830579274,2023-06-10 17:47:13.255872,2023-06-10 17:47:13.374853,0 days 00:00:00.118981,3,0.7757082311732894,7.519751152197042e-05,1.979836929725285e-06,0.20166224761438112,175,14,0.03962468128618455,644,126,COMPLETE
