,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
41,41,0.2719548921655094,2023-06-10 19:40:31.613059,2023-06-10 19:40:32.144021,0 days 00:00:00.530962,0.877075035945199,1,0.913923006138368,0.7589045358102379,0.0004831547811720908,0.2434767942593402,199,86,0.0532127977443847,511,91,COMPLETE
233,233,0.2743861235251904,2023-06-10 19:41:08.750104,2023-06-10 19:41:09.747649,0 days 00:00:00.997545,0.8152788812678111,1,0.9663732046271067,1.8400432641857436,0.13710773329194578,0.298427000977523,128,38,0.055591986038421075,705,63,COMPLETE
15,15,0.27627048971427354,2023-06-10 19:40:19.695967,2023-06-10 19:40:21.014656,0 days 00:00:01.318689,0.8445621338916822,3,0.9974947583023486,1.3637608590643153,0.011236557828916038,0.08399544689544332,211,51,0.03971317639768597,845,66,COMPLETE
194,194,0.27822737578554757,2023-06-10 19:41:03.708653,2023-06-10 19:41:04.308381,0 days 00:00:00.599728,0.8483107488974703,1,0.9821106627001841,3.9934362001761796,0.00021900736513533797,0.2902866390709834,212,73,0.060680376948837794,518,59,COMPLETE
424,424,0.2799217469823132,2023-06-10 19:41:29.991713,2023-06-10 19:41:30.647336,0 days 00:00:00.655623,0.9000682621144127,1,0.9493095547083343,0.9814396720011797,0.0002754405246988395,0.29863715835474436,126,51,0.046377468583099955,509,54,COMPLETE
16,16,0.28002908973277457,2023-06-10 19:40:21.016611,2023-06-10 19:40:22.073596,0 days 00:00:01.056985,0.9794172571805635,2,0.9115192374147784,0.8351574538158671,0.022214874438576896,0.10873230864738354,128,86,0.03547130911432776,804,57,COMPLETE
193,193,0.2814577189292632,2023-06-10 19:41:03.099018,2023-06-10 19:41:03.707223,0 days 00:00:00.608205,0.8438610784690613,1,0.9835108339120292,1.9035393603252808,0.007231810684129004,0.29136592408778206,213,73,0.06218719781450659,540,58,COMPLETE
84,84,0.28174164320273465,2023-06-10 19:40:43.678177,2023-06-10 19:40:44.428505,0 days 00:00:00.750328,0.8421955168734443,1,0.9580224671130243,2.8579398227620127,0.00023360225919172786,0.29818012811905276,214,44,0.056167156775432873,568,82,COMPLETE
183,183,0.28181355761709126,2023-06-10 19:41:01.286430,2023-06-10 19:41:01.914368,0 days 00:00:00.627938,0.8514401887756013,1,0.9906074819515612,1.8408243099906987,0.016447163002851907,0.23566026869253445,123,71,0.06081285883073395,531,52,COMPLETE
83,83,0.282431598250012,2023-06-10 19:40:42.892309,2023-06-10 19:40:43.676585,0 days 00:00:00.784276,0.807039267275949,1,0.9680244699541528,3.722547269763623,0.0007363346735875895,0.24015710397214907,229,44,0.06229571906088054,566,85,COMPLETE
